state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
3.0,410000,67,27470000,6318000,1.55,42579000,2010
29.0,15000,50,750000,278000,1.4,1050000,2003
41.0,60000,84,5040000,3024000,1.22,6149000,2007
35.0,8000,63,504000,106000,2.5,1260000,2010
12.0,16000,46,736000,390000,0.87,640000,1998
2.0,32000,55,1760000,774000,1.11,1954000,2004
23.0,350000,74,25900000,7770000,0.91,23569000,2006
18.0,130000,68,8840000,2564000,1.04,9194000,2007
1.0,52000,89,4628000,2592000,0.53,2453000,1999
11.0,8000,59,472000,203000,2.54,1199000,2012
41.0,58000,80,4640000,2366000,1.5,6960000,2008
23.0,280000,96,26880000,9408000,0.69,18547000,2001
21.0,132000,79,10428000,1981000,0.95,9907000,2006
13.0,5000,56,280000,34000,1.96,549000,2004
12.0,16000,50,800000,328000,1.05,840000,2005
7.0,10000,95,950000,323000,1.76,1672000,2009
5.0,228000,102,23256000,4186000,0.53,12326000,1999
21.0,124000,88,10912000,4692000,0.59,6438000,2000
29.0,15000,69,1035000,580000,1.4,1449000,2005
34.0,225000,95,21375000,11970000,1.34,28643000,2008
30.0,3000,53,159000,51000,1.63,259000,2002
32.0,25000,42,1050000,326000,1.7,1785000,2007
30.0,4000,47,188000,105000,1.43,269000,2001
22.0,12000,45,540000,76000,2.49,1345000,2007
40.0,46000,44,2024000,648000,1.25,2530000,2007
1.0,25000,60,1500000,360000,1.47,2205000,2010
35.0,7000,55,385000,92000,1.67,643000,2005
1.0,40000,75,3000000,810000,1.26,3780000,2003
34.0,260000,63,16380000,3604000,1.95,31941000,2012
36.0,108000,81,8748000,2799000,0.64,5599000,1999
13.0,4000,39,156000,12000,3.17,495000,2011
32.0,28000,60,1680000,790000,0.76,1277000,1999
17.0,76000,60,4560000,2827000,0.81,3694000,2001
14.0,36000,77,2772000,471000,1.67,4629000,2011
5.0,160000,86,13760000,2477000,0.87,11971000,2005
20.0,16000,98,1568000,78000,1.44,2258000,2010
10.0,8000,34,272000,57000,2.55,694000,2009
20.0,15000,92,1380000,166000,0.91,1256000,2007
17.0,71000,73,5183000,2021000,1.44,7464000,2008
40.0,52000,50,2600000,1170000,0.6,1560000,1999
19.0,17000,53,901000,189000,1.41,1270000,2003
9.0,87000,36,3132000,1879000,1.78,5575000,2011
24.0,41000,59,2419000,653000,1.75,4233000,2011
41.0,68000,86,5848000,2632000,1.19,6959000,2004
35.0,7000,44,308000,68000,2.93,902000,2011
12.0,17000,52,884000,407000,1.5,1326000,2002
7.0,9000,74,666000,246000,3.65,2431000,2011
11.0,7000,76,532000,186000,0.92,489000,2001
4.0,28000,70,1960000,902000,0.97,1901000,2005
10.0,9000,80,720000,130000,1.47,1058000,2002
18.0,128000,66,8448000,1774000,1.55,13094000,2010
7.0,10000,93,930000,233000,1.21,1125000,2006
43.0,39000,93,3627000,798000,0.59,2140000,2000
8.0,26000,84,2184000,1441000,1.37,2992000,2006
41.0,64000,93,5952000,2500000,1.12,6666000,2006
15.0,7000,44,308000,92000,1.1,339000,1998
8.0,33000,70,2310000,901000,1.43,3303000,2002
16.0,9000,26,234000,59000,1.32,309000,2007
19.0,24000,65,1560000,437000,0.68,1061000,1999
31.0,50000,43,2150000,1097000,1.41,3032000,2008
39.0,5000,66,330000,119000,2.2,726000,2008
38.0,8000,38,304000,79000,1.9,578000,2002
22.0,9000,46,414000,104000,1.62,671000,1999
9.0,97000,27,2619000,1179000,1.61,4217000,2010
39.0,6000,56,336000,144000,1.2,403000,2006
31.0,60000,34,2040000,755000,1.68,3427000,2011
38.0,6000,37,222000,69000,1.68,373000,2003
6.0,50000,52,2600000,52000,1.13,2938000,2002
0.0,13000,66,858000,266000,1.02,875000,2005
